year,key_skills,skills_count
2015,JavaScript;HTML;PHP;jQuery;MySQL;CSS;HTML5;Ведение переговоров;Git;CSS3;Поиск и привлечение клиентов;Активные продажи;Пользователь ПК;Работа в команде;Управление проектами;Грамотная речь;ООП;Ajax;B2B Продажи;Деловая переписка,2500;2190;2075;1827;1777;1773;1684;1679;1617;1385;1355;1329;1279;1236;1136;1113;1108;1104;1096;1088
2016,JavaScript;HTML;PHP;Ведение переговоров;Пользователь ПК;CSS;Git;jQuery;Работа в команде;MySQL;HTML5;Грамотная речь;Навыки продаж;Поиск и привлечение клиентов;Активные продажи;Управление проектами;CSS3;Деловая переписка;ООП;Телефонные переговоры,8759;7008;6604;6600;5969;5926;5724;5707;5484;5457;4885;4732;4494;4404;4103;3994;3898;3862;3845;3668
2017,JavaScript;HTML;PHP;CSS;Git;MySQL;Ведение переговоров;jQuery;HTML5;Работа в команде;Пользователь ПК;Активные продажи;ООП;Управление проектами;SQL;Грамотная речь;B2B Продажи;Телефонные переговоры;Linux;CSS3,12724;9848;9375;8659;8345;7930;7484;6904;6264;5985;5710;5391;5317;5292;5084;5050;4919;4829;4669;4557
2018,JavaScript;HTML;Git;PHP;CSS;Ведение переговоров;MySQL;Работа в команде;Пользователь ПК;Активные продажи;SQL;Управление проектами;HTML5;Грамотная речь;jQuery;Телефонные переговоры;B2B Продажи;Деловая переписка;Linux;Поиск и привлечение клиентов,17512;13449;12536;12307;11821;11284;10617;9793;9240;8259;8113;8085;8052;7882;7861;7657;7457;7417;6821;6455
2019,JavaScript;Пользователь ПК;Git;Работа в команде;HTML;Ведение переговоров;Грамотная речь;PHP;CSS;MySQL;SQL;Активные продажи;Управление проектами;Телефонные переговоры;B2B Продажи;Linux;Деловая переписка;Деловое общение;Английский язык;ООП,16950;14520;13679;13291;13046;12407;12020;11485;11252;9902;9814;9695;8842;8358;8176;8127;8056;7857;7630;6672
2020,Пользователь ПК;Грамотная речь;Работа в команде;Git;JavaScript;Активные продажи;SQL;HTML;CSS;Ведение переговоров;Английский язык;Linux;PHP;MySQL;Деловое общение;Телефонные переговоры;Клиентоориентированность;Управление проектами;B2B Продажи;Холодные продажи,27501;24398;23787;20757;20236;18092;16371;15549;13805;13714;13654;13431;13096;12720;12526;11679;10478;10335;10270;9974
2021,Работа в команде;Грамотная речь;Пользователь ПК;Git;JavaScript;Английский язык;SQL;Активные продажи;Деловое общение;Ведение переговоров;Linux;HTML;Грамотность;Телефонные переговоры;Adobe Photoshop;Управление проектами;PHP;CSS;Деловая переписка;MySQL,56658;52386;45005;32374;28207;27201;26421;24164;23070;22704;20753;19868;19803;19498;18558;18361;17817;17339;17245;17147
2022,Работа в команде;Пользователь ПК;Грамотная речь;Git;SQL;Английский язык;Техническое обслуживание;JavaScript;Linux;Adobe Photoshop;Работа в условиях многозадачности;Грамотность;Управление проектами;1С программирование;Настройка ПК;Работа с большим объемом информации;PHP;1С: Предприятие 8;Умение работать в команде;MySQL,64617;43270;33018;27149;23450;22131;21106;20885;20586;19820;18168;16487;15977;15836;15803;15504;15159;14449;13899;13633
2023,Работа в команде;Грамотная речь;Пользователь ПК;SQL;Git;Adobe Photoshop;Деловое общение;Linux;1С программирование;Работа с большим объемом информации;Техническая поддержка;JavaScript;Настройка ПК;Управление проектами;Аналитическое мышление;PHP;Клиентоориентированность;1С: Предприятие 8;Настройка сетевых подключений;Английский язык,31264;24927;23247;15485;15266;15016;14759;13501;12355;12253;11965;11486;11364;10608;10428;10147;10128;10099;9813;9501
