year,salary_by_years,salary_by_years_profession,number_vac_by_years,number_profession_by_years
2003,41304,0,1070,0
2004,42967,42144,4322,16
2005,44938,28409,9362,63
2006,41317,23645,23057,186
2007,44449,35381,35341,113
2008,48411,46520,46657,113
2009,44811,44230,31081,122
2010,44657,47008,51686,285
2011,46448,54542,77413,526
2012,47461,52164,95146,753
2013,49086,61872,129470,1357
2014,48552,58144,141479,1594
2015,51448,69201,147696,1958
2016,55612,77698,175035,2412
2017,60363,76628,198023,2873
2018,65444,85291,276650,3855
2019,69830,96300,260024,5158
2020,72621,122158,290475,6961
2021,83023,111808,445544,11120
2022,91464,126313,468335,9623
2023,98616,108966,309498,6012
